date,id,uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation,sunrise,sunset
2019-08-01,Downtown,4.0,10.3,42.0,24.0,9.0,1.7,07:13 AM,08:13 PM
2019-08-02,Downtown,4.0,7.8,49.0,24.0,10.0,4.7,07:13 AM,08:12 PM
2019-08-03,Downtown,5.0,11.6,36.0,25.0,10.0,2.1,07:14 AM,08:12 PM
2019-08-04,Downtown,4.0,7.8,56.0,24.0,11.0,15.7,07:14 AM,08:11 PM
2019-08-05,Downtown,4.0,6.5,77.0,23.0,10.0,25.1,07:14 AM,08:11 PM
2019-08-06,Downtown,4.0,6.5,73.0,21.0,10.0,33.1,07:15 AM,08:10 PM
2019-08-07,Downtown,4.0,6.5,80.0,23.0,10.0,24.6,07:15 AM,08:09 PM
2019-08-08,Downtown,4.0,7.8,69.0,22.0,11.0,23.2,07:15 AM,08:09 PM
2019-08-09,Downtown,5.0,7.7,69.0,26.0,11.0,4.4,07:16 AM,08:08 PM
2019-08-10,Downtown,4.0,9.0,68.0,24.0,11.0,6.9,07:16 AM,08:08 PM
2019-08-11,Downtown,4.0,11.6,53.0,24.0,11.0,10.5,07:16 AM,08:07 PM
2019-08-12,Downtown,5.0,10.3,60.0,26.0,11.0,13.7,07:17 AM,08:06 PM
2019-08-13,Downtown,5.0,7.7,73.0,26.0,11.0,12.5,07:17 AM,08:06 PM
2019-08-14,Downtown,5.0,9.0,70.0,26.0,11.0,11.7,07:17 AM,08:05 PM
2019-08-15,Downtown,5.0,9.0,63.0,26.0,11.0,11.0,07:17 AM,08:05 PM
2019-08-16,Downtown,4.0,7.7,58.0,26.0,11.0,8.0,07:18 AM,08:04 PM
2019-08-17,Downtown,4.0,9.0,64.0,25.0,11.0,11.4,07:18 AM,08:03 PM
2019-08-18,Downtown,5.0,7.7,72.0,26.0,11.0,12.4,07:18 AM,08:02 PM
2019-08-19,Downtown,4.0,7.7,60.0,24.0,11.0,13.8,07:18 AM,08:02 PM
2019-08-20,Downtown,4.0,9.0,44.0,25.0,9.0,7.3,07:19 AM,08:01 PM
2019-08-21,Downtown,4.0,10.3,51.0,24.0,10.0,5.4,07:19 AM,08:00 PM
2019-08-22,Downtown,4.0,10.3,68.0,22.0,10.0,18.3,07:19 AM,08:00 PM
2019-08-23,Downtown,4.0,6.2,79.0,23.0,11.0,41.0,07:19 AM,07:59 PM
2019-08-24,Downtown,4.0,7.5,73.0,25.0,11.0,24.0,07:20 AM,07:58 PM
2019-08-25,Downtown,4.0,8.9,73.0,24.0,11.0,15.6,07:20 AM,07:57 PM
2019-08-26,Downtown,4.0,7.5,71.0,23.0,12.0,10.3,07:20 AM,07:57 PM
2019-08-27,Downtown,4.0,8.9,52.0,26.0,11.0,11.8,07:20 AM,07:56 PM
2019-08-28,Downtown,4.0,10.2,65.0,24.0,11.0,6.1,07:21 AM,07:55 PM
2019-08-29,Downtown,4.0,10.2,48.0,26.0,10.0,4.3,07:21 AM,07:54 PM
2019-08-30,Downtown,4.0,10.2,46.0,24.0,9.0,3.1,07:21 AM,07:53 PM
2019-08-31,Downtown,4.0,10.2,50.0,26.0,9.0,2.4,07:21 AM,07:53 PM
2019-09-01,Downtown,4.0,10.2,44.0,26.0,9.0,1.5,07:22 AM,07:52 PM
2019-09-02,Downtown,5.0,11.6,44.0,24.0,10.0,1.2,07:22 AM,07:51 PM
2019-09-03,Downtown,4.0,10.2,46.0,25.0,9.0,4.6,07:22 AM,07:50 PM
2019-09-04,Downtown,4.0,7.5,74.0,23.0,10.0,10.0,07:22 AM,07:49 PM
2019-09-05,Downtown,4.0,7.5,73.0,24.0,11.0,14.4,07:22 AM,07:48 PM
2019-09-06,Downtown,4.0,8.9,47.0,24.0,11.0,0.7,07:23 AM,07:47 PM
2019-09-07,Downtown,4.0,7.5,48.0,24.0,10.0,10.7,07:23 AM,07:47 PM
2019-09-08,Downtown,4.0,8.9,70.0,23.0,10.0,16.1,07:23 AM,07:46 PM
2019-09-09,Downtown,4.0,6.1,74.0,22.0,10.0,17.0,07:23 AM,07:45 PM
2019-09-10,Downtown,4.0,6.1,72.0,20.0,10.0,19.4,07:23 AM,07:44 PM
2019-09-11,Downtown,4.0,8.8,63.0,22.0,11.0,16.8,07:24 AM,07:43 PM
2019-09-12,Downtown,4.0,7.5,66.0,21.0,12.0,29.1,07:24 AM,07:42 PM
2019-09-13,Downtown,4.0,7.5,69.0,21.0,11.0,20.8,07:24 AM,07:41 PM
2019-09-14,Downtown,4.0,7.5,69.0,21.0,10.0,10.3,07:24 AM,07:40 PM
2019-09-15,Downtown,2.0,10.2,71.0,0.0,0.0,1.7,07:24 AM,07:39 PM
2019-09-16,Downtown,2.0,7.5,73.0,22.0,0.0,16.4,07:24 AM,07:39 PM
2019-09-17,Downtown,4.0,7.4,72.0,25.0,10.0,16.8,07:25 AM,07:38 PM
2019-09-18,Downtown,4.0,7.4,68.0,23.0,10.0,22.0,07:25 AM,07:37 PM
2019-09-19,Downtown,4.0,6.1,77.0,23.0,11.0,22.7,07:25 AM,07:36 PM
2019-09-20,Downtown,5.0,10.2,45.0,29.0,10.0,3.3,07:25 AM,07:35 PM
2019-09-21,Downtown,4.0,10.2,51.0,25.0,10.0,5.0,07:25 AM,07:34 PM
2019-09-22,Downtown,4.0,10.2,63.0,25.0,10.0,4.8,07:26 AM,07:33 PM
2019-09-23,Downtown,4.0,8.8,66.0,25.0,10.0,7.7,07:26 AM,07:32 PM
2019-09-24,Downtown,4.0,8.8,74.0,25.0,10.0,19.3,07:26 AM,07:31 PM
2019-09-25,Downtown,4.0,7.4,71.0,23.0,11.0,24.9,07:26 AM,07:30 PM
2019-09-26,Downtown,4.0,8.8,71.0,23.0,11.0,17.4,07:26 AM,07:30 PM
2019-09-27,Downtown,5.0,10.2,46.0,27.0,10.0,3.8,07:27 AM,07:29 PM
2019-09-28,Downtown,4.0,7.4,68.0,23.0,11.0,13.5,07:27 AM,07:28 PM
2019-09-29,Downtown,4.0,6.0,73.0,17.0,11.0,10.1,07:27 AM,07:27 PM
2019-09-30,Downtown,4.0,6.0,73.0,20.0,10.0,5.8,07:27 AM,07:26 PM
2019-10-01,Downtown,4.0,8.8,55.0,24.0,10.0,7.3,07:28 AM,07:25 PM
2019-10-02,Downtown,4.0,7.4,74.0,24.0,11.0,6.8,07:28 AM,07:24 PM
2019-10-03,Downtown,4.0,8.8,62.0,24.0,9.0,5.0,07:28 AM,07:23 PM
2019-10-04,Downtown,4.0,7.4,75.0,22.0,10.0,15.3,07:28 AM,07:23 PM
2019-10-05,Downtown,4.0,7.4,74.0,24.0,11.0,10.2,07:28 AM,07:22 PM
