id,fecha,produccion(Wh)
1,27/05/2020,34047.254
1,28/05/2020,37065.48
1,29/05/2020,37592.62
1,30/05/2020,34483.457
1,31/05/2020,33053.957
1,01/06/2020,38956.78
1,02/06/2020,41301.31
1,03/06/2020,24627.162
1,04/06/2020,37451.93
1,05/06/2020,39763.465
1,06/06/2020,41568.492
1,07/06/2020,35376.688
2,27/05/2020,23066
2,28/05/2020,28729
2,29/05/2020,26330
2,30/05/2020,28590
2,31/05/2020,22821
2,01/06/2020,32269
2,02/06/2020,34665
2,03/06/2020,23878
2,04/06/2020,32211
2,05/06/2020,34671
2,06/06/2020,32098
2,07/06/2020,25744
3,27/05/2020,25838
3,28/05/2020,31911
3,29/05/2020,29596
3,30/05/2020,30626
3,31/05/2020,28187
3,01/06/2020,32677
3,02/06/2020,34095
3,03/06/2020,21812
3,04/06/2020,36626
3,05/06/2020,34395
3,06/06/2020,36535
3,07/06/2020,30331
7,27/05/2020,11905
7,28/05/2020,15161
7,29/05/2020,13458
7,30/05/2020,15426
7,31/05/2020,11785
7,01/06/2020,17937
7,02/06/2020,18747
7,03/06/2020,11695
7,04/06/2020,17476
7,05/06/2020,18623
7,06/06/2020,16398
7,07/06/2020,13300
11,27/05/2020,17509.867
11,28/05/2020,21566.248
11,29/05/2020,19277.498
11,30/05/2020,21688.25
11,31/05/2020,16620.498
11,01/06/2020,23985.998
11,02/06/2020,25231.17
11,03/06/2020,18306.865
11,04/06/2020,25365.336
11,05/06/2020,26040.021
11,06/06/2020,22920.236
11,07/06/2020,18166.605
12,27/05/2020,26598
12,28/05/2020,25566
12,29/05/2020,27268
12,30/05/2020,31198
12,31/05/2020,25920
12,01/06/2020,36907
12,02/06/2020,37220
12,03/06/2020,21187
12,04/06/2020,37806
12,05/06/2020,41249
12,06/06/2020,34319
12,07/06/2020,26559
13,27/05/2020,33812
13,28/05/2020,37752
13,29/05/2020,35495
13,30/05/2020,37654
13,31/05/2020,28837
13,01/06/2020,43287
13,02/06/2020,47201
13,03/06/2020,27934
13,04/06/2020,48952
13,05/06/2020,48552
13,06/06/2020,40820
13,07/06/2020,34307
14,27/05/2020,15254.958
14,28/05/2020,11017.294
14,29/05/2020,8854.301
14,30/05/2020,13656.658
14,31/05/2020,9038.74
14,01/06/2020,9970.768
14,02/06/2020,10490.243
14,03/06/2020,13151.797
14,04/06/2020,15304.289
14,05/06/2020,15265.132
14,06/06/2020,10327.092
14,07/06/2020,8819.642
15,27/05/2020,23113.994
15,28/05/2020,24034.066
15,29/05/2020,26021.01
15,30/05/2020,27542.793
15,31/05/2020,23619.396
15,01/06/2020,28755.13
15,02/06/2020,31783.943
15,03/06/2020,16595.096
15,04/06/2020,30612.77
15,05/06/2020,31811.822
15,06/06/2020,29821.94
15,07/06/2020,24721.977
16,27/05/2020,9980.37
16,28/05/2020,12199.487
16,29/05/2020,10504.203
16,30/05/2020,12230.313
16,31/05/2020,8987.616
16,01/06/2020,14914.073
16,02/06/2020,15173.324
16,03/06/2020,10684.046
16,04/06/2020,14857.656
16,05/06/2020,15667.177
16,06/06/2020,13489.233
16,07/06/2020,10160.779
19,27/05/2020,11072.549
19,28/05/2020,14023.034
19,29/05/2020,12933.828
19,30/05/2020,12583.109
19,31/05/2020,11040.945
19,01/06/2020,14098.954
19,02/06/2020,14854.86
19,03/06/2020,10632.589
19,04/06/2020,14789.953
19,05/06/2020,15193.949
19,06/06/2020,14356.148
19,07/06/2020,11800.489
20,27/05/2020,13042.341
20,28/05/2020,12982.24
20,29/05/2020,13653.01
20,30/05/2020,15915.35
20,31/05/2020,12073.036
20,01/06/2020,17471.807
20,02/06/2020,18827.441
20,03/06/2020,9742.192
20,04/06/2020,18603.586
20,05/06/2020,18598.688
20,06/06/2020,16283.248
20,07/06/2020,13238.592
25,27/05/2020,12927
25,28/05/2020,10556
25,29/05/2020,8298
25,30/05/2020,13406
25,31/05/2020,9547
25,01/06/2020,10203
25,02/06/2020,10725
25,03/06/2020,13037
25,04/06/2020,14707
25,05/06/2020,14694
25,06/06/2020,10268
25,07/06/2020,9068
1,08/06/2020,41888.82
2,08/06/2020,31521
3,08/06/2020,34909
7,08/06/2020,14850
11,08/06/2020,23227.088
12,08/06/2020,34198
13,08/06/2020,37440
14,08/06/2020,10221.345
15,08/06/2020,14517.668
16,08/06/2020,13569.294
19,08/06/2020,13807.352
20,08/06/2020,15868.436
25,08/06/2020,10281
1,09/06/2020,36586.266
2,09/06/2020,31177
3,09/06/2020,34980
7,09/06/2020,16055
11,09/06/2020,23030.377
12,09/06/2020,30947
13,09/06/2020,43768
14,09/06/2020,13389.407
16,09/06/2020,13380.584
19,09/06/2020,14672.367
20,09/06/2020,14883.692
25,09/06/2020,13180
1,10/06/2020,37490.188
1,11/06/2020,25749.379
2,10/06/2020,29165
2,11/06/2020,19867
3,10/06/2020,33966
3,11/06/2020,23048
7,10/06/2020,16140
