,specific_prod(kWh/kWp),azimuth,tilt,lat,uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation
0,3.337966078431373,180.0,15.0,19.354622,6.0,11.6,17.0,28.0,14.0,0.7
1,3.6338705882352946,180.0,15.0,19.354622,5.0,10.4,35.0,26.0,13.0,8.9
2,3.6855509803921573,180.0,15.0,19.354622,4.0,8.0,51.0,23.0,12.0,17.7
3,3.380731078431373,180.0,15.0,19.354622,4.0,11.6,36.0,24.0,10.0,0.8
4,3.240584019607844,180.0,15.0,19.354622,4.0,9.2,48.0,23.0,10.0,6.3
5,3.8192921568627454,180.0,15.0,19.354622,5.0,10.4,60.0,24.0,11.0,2.4
6,4.0491480392156864,180.0,15.0,19.354622,5.0,11.6,29.0,27.0,10.0,0.3
7,2.4144276470588237,180.0,15.0,19.354622,4.0,10.4,49.0,24.0,10.0,0.8
8,3.671757843137255,180.0,15.0,19.354622,6.0,11.6,27.0,27.0,10.0,0.2
9,3.8983789215686273,180.0,15.0,19.354622,6.0,11.6,36.0,29.0,12.0,1.4
10,4.075342352941177,180.0,15.0,19.354622,5.0,10.4,41.0,29.0,14.0,2.0
11,3.468302745098039,180.0,15.0,19.354622,5.0,6.8,76.0,26.0,11.0,12.9
12,4.1067470588235295,180.0,15.0,19.354622,5.0,6.8,76.0,26.0,12.0,15.3
13,3.5868888235294123,180.0,15.0,19.354622,5.0,10.4,55.0,30.0,17.0,3.5
14,3.6755086274509803,180.0,15.0,19.354622,6.0,10.4,54.0,27.0,14.0,3.2
15,2.5244489215686277,180.0,15.0,19.354622,4.0,9.2,70.0,22.0,12.0,27.8
16,4.005641470588236,180.0,15.0,19.354622,5.0,11.6,41.0,24.0,10.0,3.8
17,4.121204901960785,180.0,15.0,19.354622,5.0,11.6,19.0,27.0,9.0,0.9
18,4.073671568627451,180.0,15.0,19.354622,5.0,11.6,9.0,26.0,9.0,0.0
19,3.598864509803921,180.0,15.0,19.354622,6.0,11.6,5.0,27.0,10.0,0.0
20,3.9961875490196075,180.0,15.0,19.354622,6.0,11.6,27.0,29.0,10.0,0.6
21,3.916062745098039,180.0,15.0,19.354622,5.0,8.0,73.0,28.0,11.0,6.6
22,3.979655882352941,180.0,15.0,19.354622,6.0,11.6,37.0,27.0,11.0,2.6
23,3.847442941176471,180.0,15.0,19.354622,5.0,11.6,36.0,27.0,13.0,1.3
24,3.7187931372549023,180.0,15.0,19.354622,4.0,9.2,58.0,25.0,12.0,11.7
25,2.9191299019607846,180.0,15.0,19.354622,5.0,6.6,77.0,24.0,13.0,20.9
26,1.7091318627450982,180.0,15.0,19.354622,4.0,7.8,64.0,24.0,12.0,30.5
27,2.3783446078431374,180.0,15.0,19.354622,4.0,9.1,56.0,24.0,11.0,21.9
28,3.488390784313726,180.0,15.0,19.354622,4.0,6.6,66.0,24.0,12.0,14.3
29,4.165344117647059,180.0,15.0,19.354622,5.0,10.3,34.0,27.0,11.0,0.7
30,3.9435340196078434,180.0,15.0,19.354622,5.0,10.3,35.0,27.0,11.0,2.4
31,3.170485588235294,180.0,15.0,19.354622,5.0,9.1,56.0,26.0,11.0,8.5
32,3.9048609803921575,180.0,15.0,19.354622,4.0,9.1,73.0,25.0,10.0,6.2
33,3.579340196078431,180.0,15.0,19.354622,4.0,9.1,69.0,23.0,10.0,10.0
34,3.2909249019607842,180.0,15.0,19.354622,4.0,6.6,75.0,24.0,11.0,40.0
35,3.333397254901961,180.0,15.0,19.354622,4.0,6.6,74.0,22.0,11.0,8.6
36,2.62787568627451,180.0,15.0,19.354622,4.0,7.8,78.0,25.0,12.0,15.6
37,3.9021074509803926,180.0,15.0,19.354622,5.0,10.3,45.0,27.0,10.0,6.9
38,2.3817189215686274,180.0,15.0,19.354622,4.0,7.8,75.0,20.0,10.0,15.6
39,3.2920539215686278,180.0,15.0,19.354622,4.0,7.8,66.0,22.0,10.0,3.7
40,3.438550980392157,180.0,15.0,19.354622,5.0,6.6,81.0,24.0,12.0,21.8
41,3.654687843137255,180.0,15.0,19.354622,4.0,9.1,52.0,26.0,11.0,9.1
42,3.622644411764706,180.0,15.0,19.354622,5.0,10.3,44.0,27.0,10.0,4.0
43,3.100169117647059,180.0,15.0,19.354622,4.0,9.1,74.0,23.0,11.0,43.4
44,3.6597346078431374,180.0,15.0,19.354622,4.0,6.6,74.0,23.0,11.0,24.5
45,2.2948376470588236,180.0,15.0,19.354622,4.0,9.1,54.0,23.0,10.0,2.5
46,3.8528741176470587,180.0,15.0,19.354622,4.0,7.8,77.0,24.0,11.0,8.3
47,3.9647098039215694,180.0,15.0,19.354622,4.0,6.6,74.0,23.0,11.0,10.9
48,3.628645098039216,180.0,15.0,19.354622,5.0,9.1,45.0,26.0,11.0,10.9
49,3.8259199019607846,180.0,15.0,19.354622,5.0,10.3,59.0,26.0,11.0,13.8
50,3.7371676470588238,180.0,15.0,19.354622,5.0,9.1,69.0,26.0,11.0,6.7
51,3.697154901960785,180.0,15.0,19.354622,4.0,9.1,45.0,25.0,10.0,6.2
52,3.9622058823529414,180.0,15.0,19.354622,4.0,7.8,52.0,24.0,10.0,5.3
53,3.5973671568627448,180.0,15.0,19.354622,5.0,9.1,53.0,26.0,10.0,9.9
54,3.97225,180.0,15.0,19.354622,5.0,7.8,54.0,26.0,11.0,23.0
55,3.5142777450980396,180.0,15.0,19.354622,4.0,9.1,56.0,25.0,11.0,28.2
56,3.782647843137255,180.0,15.0,19.354622,4.0,7.8,68.0,24.0,11.0,13.5
57,3.4950199019607844,180.0,15.0,19.354622,4.0,6.5,78.0,24.0,12.0,14.2
58,3.8562602941176474,180.0,15.0,19.354622,4.0,7.8,65.0,24.0,11.0,17.8
59,3.3699715686274514,180.0,15.0,19.354622,4.0,9.1,66.0,23.0,10.0,32.3
60,2.432505588235294,180.0,15.0,19.354622,4.0,7.8,64.0,23.0,10.0,6.6
61,3.29286955882353,180.0,15.0,19.354622,4.0,11.0,7.0,20.0,8.0,0.0
62,3.7049885098039215,180.0,15.0,19.354622,4.0,11.0,2.0,21.0,8.0,0.0
63,3.5758540098039218,180.0,15.0,19.354622,4.0,11.0,2.0,22.0,9.0,0.0
64,4.160959715686275,180.0,15.0,19.354622,4.0,11.0,2.0,23.0,9.0,0.0
65,4.142250303921569,180.0,15.0,19.354622,4.0,11.0,0.0,22.0,7.0,0.0
66,3.9747422647058825,180.0,15.0,19.354622,4.0,11.0,0.0,22.0,8.0,0.2
67,3.814947147058824,180.0,15.0,19.354622,4.0,11.0,7.0,20.0,8.0,0.0
68,1.7654919215686276,180.0,15.0,19.354622,4.0,11.0,12.0,17.0,7.0,0.0
69,3.8134723529411763,180.0,15.0,19.354622,3.0,11.0,4.0,18.0,4.0,0.0
70,4.04877718627451,180.0,15.0,19.354622,4.0,11.0,2.0,19.0,4.0,0.0
71,3.879002754901961,180.0,15.0,19.354622,4.0,11.0,6.0,19.0,7.0,0.0
72,4.026698450980393,180.0,15.0,19.354622,4.0,11.1,1.0,20.0,6.0,0.0
73,4.016501990196079,180.0,15.0,19.354622,4.0,11.1,1.0,20.0,6.0,0.0
74,3.8752389705882355,180.0,15.0,19.354622,4.0,11.1,4.0,19.0,6.0,0.0
75,4.010821843137255,180.0,15.0,19.354622,4.0,11.1,2.0,19.0,5.0,0.0
76,4.019342450980393,180.0,15.0,19.354622,4.0,11.1,2.0,20.0,6.0,0.0
77,3.7132299313725494,180.0,15.0,19.354622,4.0,11.1,1.0,20.0,6.0,0.0
78,3.783620176470588,180.0,15.0,19.354622,4.0,11.1,2.0,20.0,6.0,0.0
79,3.6011783823529413,180.0,15.0,19.354622,4.0,11.1,1.0,20.0,6.0,0.0
80,3.9001547156862744,180.0,15.0,19.354622,4.0,11.1,2.0,20.0,7.0,0.0
81,4.09517118627451,180.0,15.0,19.354622,4.0,11.1,2.0,21.0,6.0,0.0
82,4.088437882352942,180.0,15.0,19.354622,4.0,11.1,0.0,22.0,6.0,0.0
83,4.053300401960785,180.0,15.0,19.354622,4.0,11.1,0.0,22.0,7.0,0.0
84,3.9758873333333336,180.0,15.0,19.354622,4.0,11.1,0.0,21.0,6.0,0.0
85,3.9667210490196085,180.0,15.0,19.354622,4.0,11.1,0.0,22.0,5.0,0.0
86,3.8149008137254903,180.0,15.0,19.354622,4.0,11.1,0.0,23.0,6.0,0.0
87,3.8679568823529413,180.0,15.0,19.354622,4.0,11.2,0.0,23.0,6.0,0.0
88,3.9405147058823533,180.0,15.0,19.354622,4.0,11.2,0.0,21.0,5.0,0.0
89,2.875057637254902,180.0,15.0,19.354622,4.0,11.2,6.0,18.0,4.0,0.0
90,3.6561906372549027,180.0,15.0,19.354622,4.0,11.2,8.0,19.0,5.0,0.0
91,3.527751607843138,180.0,15.0,19.354622,4.0,11.2,5.0,21.0,6.0,0.0
92,3.0711841274509806,180.0,15.0,19.354622,4.0,11.2,3.0,21.0,7.0,0.3
93,3.6707402745098037,180.0,15.0,19.354622,4.0,11.2,4.0,20.0,7.0,0.0
94,3.7235455000000006,180.0,15.0,19.354622,4.0,11.2,9.0,20.0,9.0,0.1
95,3.4013947647058824,180.0,15.0,19.354622,4.0,11.2,15.0,19.0,9.0,0.1
96,3.7010791960784313,180.0,15.0,19.354622,4.0,11.2,6.0,21.0,7.0,0.0
97,3.1981705686274515,180.0,15.0,19.354622,4.0,11.2,4.0,21.0,8.0,0.0
98,3.735531941176471,180.0,15.0,19.354622,5.0,11.2,1.0,23.0,8.0,0.0
99,3.6329863627450982,180.0,15.0,19.354622,5.0,11.3,1.0,23.0,9.0,0.0
100,3.9402642450980396,180.0,15.0,19.354622,4.0,11.3,0.0,23.0,8.0,0.0
101,3.700349264705883,180.0,15.0,19.354622,4.0,11.3,2.0,22.0,6.0,0.0
102,3.875521215686275,180.0,15.0,19.354622,4.0,11.3,0.0,23.0,6.0,0.0
103,3.796291745098039,180.0,15.0,19.354622,4.0,11.3,0.0,23.0,7.0,0.0
104,3.5598353235294122,180.0,15.0,19.354622,4.0,11.3,1.0,22.0,7.0,0.0
105,3.5618677254901963,180.0,15.0,19.354622,4.0,11.3,2.0,22.0,8.0,0.1
106,3.8901168039215688,180.0,15.0,19.354622,4.0,11.3,3.0,21.0,6.0,0.1
107,3.871004137254902,180.0,15.0,19.354622,4.0,11.3,7.0,19.0,9.0,0.1
108,3.958276274509804,180.0,15.0,19.354622,4.0,11.3,1.0,20.0,7.0,0.0
109,3.7836117450980393,180.0,15.0,19.354622,4.0,11.4,3.0,22.0,6.0,0.0
110,3.6296855882352945,180.0,15.0,19.354622,4.0,11.4,11.0,21.0,6.0,0.0
111,3.872861901960785,180.0,15.0,19.354622,4.0,11.4,1.0,22.0,8.0,0.0
112,3.170813225490196,180.0,15.0,19.354622,4.0,11.4,4.0,21.0,7.0,0.0
113,3.7729809999999997,180.0,15.0,19.354622,4.0,11.4,1.0,22.0,8.0,0.0
114,3.6770071274509806,180.0,15.0,19.354622,4.0,11.4,1.0,22.0,8.0,0.0
115,3.850191862745098,180.0,15.0,19.354622,4.0,11.6,0.0,23.0,5.0,0.0
116,3.6204250882352946,180.0,15.0,19.354622,4.0,11.6,0.0,23.0,5.0,0.0
117,3.7901221666666665,180.0,15.0,19.354622,4.0,11.6,1.0,23.0,7.0,0.0
118,3.6736331960784314,180.0,15.0,19.354622,5.0,11.6,1.0,25.0,8.0,0.0
119,3.6758915490196085,180.0,15.0,19.354622,5.0,11.6,0.0,25.0,9.0,0.0
120,3.6429764117647063,180.0,15.0,19.354622,5.0,11.6,1.0,26.0,9.0,0.0
121,3.6601727156862753,180.0,15.0,19.354622,5.0,11.6,6.0,23.0,10.0,0.0
122,3.4049333627450986,180.0,15.0,19.354622,4.0,11.6,9.0,21.0,9.0,2.3
123,2.9644914215686278,180.0,15.0,19.354622,4.0,11.6,14.0,22.0,9.0,2.2
124,2.957942137254902,180.0,15.0,19.354622,5.0,11.6,7.0,22.0,9.0,0.1
125,2.8375947843137257,180.0,15.0,19.354622,5.0,11.6,7.0,22.0,10.0,0.0
126,2.602133882352941,180.0,15.0,19.354622,5.0,11.6,3.0,22.0,10.0,0.0
127,2.856044921568628,180.0,15.0,19.354622,5.0,11.6,11.0,22.0,10.0,2.0
128,2.885764784313726,180.0,15.0,19.354622,5.0,11.6,11.0,22.0,10.0,2.9
129,3.5962994019607852,180.0,15.0,19.354622,5.0,11.6,7.0,22.0,9.0,1.2
130,3.862801774509804,180.0,15.0,19.354622,5.0,11.6,5.0,22.0,9.0,1.0
131,2.6578485,180.0,15.0,19.354622,5.0,11.6,8.0,21.0,9.0,0.9
132,3.416439950980392,180.0,15.0,19.354622,4.0,11.6,4.0,21.0,9.0,0.5
133,3.4430564509803925,180.0,15.0,19.354622,4.0,11.6,8.0,20.0,9.0,2.0
134,2.724110941176471,180.0,15.0,19.354622,4.0,11.6,14.0,20.0,8.0,3.1
135,4.177096735294118,180.0,15.0,19.354622,4.0,11.6,6.0,20.0,8.0,1.5
136,3.9259038039215692,180.0,15.0,19.354622,5.0,11.6,5.0,22.0,9.0,0.9
137,4.788851098039216,180.0,15.0,19.354622,5.0,11.6,4.0,23.0,9.0,0.6
138,4.84896637254902,180.0,15.0,19.354622,5.0,11.6,4.0,23.0,8.0,0.0
139,4.930146294117647,180.0,15.0,19.354622,5.0,11.6,2.0,24.0,9.0,0.0
140,4.892560509803922,180.0,15.0,19.354622,5.0,11.6,2.0,24.0,9.0,0.0
141,4.8762963431372555,180.0,15.0,19.354622,5.0,11.6,0.0,24.0,10.0,0.0
142,4.837491578431373,180.0,15.0,19.354622,5.0,11.6,0.0,24.0,7.0,0.0
143,4.208848039215686,180.0,15.0,19.354622,5.0,11.6,5.0,25.0,9.0,0.4
144,4.38689031372549,180.0,15.0,19.354622,5.0,11.6,10.0,24.0,10.0,8.3
145,4.1756755490196085,180.0,15.0,19.354622,5.0,11.6,6.0,24.0,11.0,2.1
146,4.7074498333333334,180.0,15.0,19.354622,5.0,11.6,5.0,25.0,11.0,0.9
147,4.274933745098039,180.0,15.0,19.354622,5.0,11.6,1.0,25.0,11.0,0.0
148,4.794381127450981,180.0,15.0,19.354622,5.0,11.6,1.0,25.0,10.0,0.0
149,4.69721124509804,180.0,15.0,19.354622,5.0,11.6,8.0,25.0,9.0,0.0
150,3.592534088235294,180.0,15.0,19.354622,5.0,11.6,26.0,24.0,10.0,0.0
151,4.1622051176470585,180.0,15.0,19.354622,5.0,11.6,6.0,26.0,10.0,0.0
152,4.816034774509804,180.0,15.0,19.354622,5.0,11.6,1.0,25.0,10.0,0.0
153,4.796103323529413,180.0,15.0,19.354622,5.0,11.6,0.0,25.0,8.0,0.0
154,4.757447147058824,180.0,15.0,19.354622,5.0,11.6,3.0,26.0,10.0,0.0
155,4.557206264705883,180.0,15.0,19.354622,5.0,11.6,1.0,28.0,10.0,0.5
156,3.376415058823529,180.0,15.0,19.354622,5.0,11.6,7.0,26.0,12.0,3.5
157,4.0723154117647065,180.0,15.0,19.354622,5.0,11.6,12.0,26.0,11.0,1.6
158,3.0632054215686275,180.0,15.0,19.354622,5.0,11.6,10.0,26.0,12.0,0.3
159,3.9576202549019617,180.0,15.0,19.354622,5.0,11.6,16.0,26.0,11.0,0.0
160,4.095812656862746,180.0,15.0,19.354622,5.0,11.6,13.0,26.0,12.0,5.5
161,3.877201666666667,180.0,15.0,19.354622,5.0,11.6,9.0,25.0,12.0,2.8
162,4.953747705882353,180.0,15.0,19.354622,5.0,11.6,4.0,24.0,10.0,0.1
163,3.8362274019607847,180.0,15.0,19.354622,5.0,11.6,11.0,23.0,10.0,0.9
164,4.159829196078432,180.0,15.0,19.354622,5.0,11.6,7.0,24.0,10.0,0.7
165,4.368361294117647,180.0,15.0,19.354622,5.0,11.6,6.0,24.0,10.0,1.1
166,4.084433980392157,180.0,15.0,19.354622,5.0,11.6,16.0,24.0,11.0,5.4
167,3.518337166666667,180.0,15.0,19.354622,5.0,11.6,10.0,23.0,10.0,3.6
168,3.1304919215686278,180.0,15.0,19.354622,5.0,11.6,7.0,21.0,10.0,7.2
169,4.702616039215687,180.0,15.0,19.354622,4.0,11.6,8.0,20.0,9.0,0.2
170,4.926310509803923,180.0,15.0,19.354622,5.0,11.6,3.0,22.0,9.0,0.0
171,4.41607537254902,180.0,15.0,19.354622,5.0,11.6,5.0,23.0,10.0,0.4
172,4.905018382352941,180.0,15.0,19.354622,5.0,11.6,2.0,25.0,10.0,0.4
173,4.2694458529411765,180.0,15.0,19.354622,5.0,11.6,7.0,24.0,10.0,0.9
174,3.9434991568627455,180.0,15.0,19.354622,5.0,11.6,7.0,25.0,11.0,0.0
175,4.332186352941177,180.0,15.0,19.354622,5.0,11.6,4.0,25.0,11.0,0.0
176,4.751946617647059,180.0,15.0,19.354622,5.0,11.6,10.0,26.0,10.0,0.0
177,3.595047490196079,180.0,15.0,19.354622,5.0,10.3,22.0,26.0,11.0,0.0
178,3.7466995980392155,180.0,15.0,19.354622,5.0,11.6,12.0,27.0,12.0,0.0
179,3.286997549019608,180.0,15.0,19.354622,6.0,11.6,4.0,28.0,14.0,0.0
180,4.476799558823529,180.0,15.0,19.354622,5.0,11.6,1.0,29.0,11.0,0.0
181,3.7110183039215694,180.0,15.0,19.354622,5.0,11.6,5.0,27.0,12.0,0.3
182,2.8795293333333336,180.0,15.0,19.354622,5.0,11.6,6.0,27.0,12.0,0.0
183,3.4604817745098044,180.0,15.0,19.354622,5.0,11.6,12.0,27.0,12.0,0.6
184,2.6482322352941177,180.0,15.0,19.354622,5.0,11.6,19.0,25.0,12.0,6.1
185,3.523678,180.0,15.0,19.354622,5.0,11.6,14.0,23.0,12.0,4.3
186,4.4606548725490205,180.0,15.0,19.354622,5.0,11.6,10.0,25.0,11.0,0.7
187,4.042876068627451,180.0,15.0,19.354622,5.0,11.6,13.0,25.0,12.0,0.9
188,3.1729901960784317,180.0,15.0,19.354622,5.0,11.6,6.0,26.0,13.0,2.3
189,3.646406637254902,180.0,15.0,19.354622,5.0,11.6,7.0,24.0,13.0,1.4
190,3.4636534901960787,180.0,15.0,19.354622,5.0,11.6,5.0,26.0,14.0,0.3
191,4.0824352745098045,180.0,15.0,19.354622,5.0,11.6,7.0,27.0,13.0,1.9
192,3.6512706764705887,180.0,15.0,19.354622,5.0,11.6,13.0,26.0,13.0,3.5
193,4.205943245098039,180.0,15.0,19.354622,5.0,11.6,10.0,25.0,13.0,3.8
194,3.79334137254902,180.0,15.0,19.354622,5.0,11.6,9.0,25.0,14.0,4.7
195,4.096996019607843,180.0,15.0,19.354622,5.0,11.6,4.0,26.0,14.0,4.3
196,3.8575187647058833,180.0,15.0,19.354622,6.0,11.6,4.0,27.0,15.0,0.5
197,3.886192941176471,180.0,15.0,19.354622,6.0,11.6,3.0,28.0,14.0,0.5
198,3.706574754901961,180.0,15.0,19.354622,6.0,11.6,5.0,28.0,15.0,0.0
199,4.035320156862745,180.0,15.0,19.354622,6.0,11.6,2.0,28.0,15.0,1.1
200,4.117273666666667,180.0,15.0,19.354622,6.0,11.6,5.0,28.0,15.0,5.5
201,4.232918578431373,180.0,15.0,19.354622,6.0,11.6,5.0,27.0,15.0,0.8
202,4.206087235294118,180.0,15.0,19.354622,6.0,11.6,5.0,28.0,14.0,1.4
203,4.472203588235295,180.0,15.0,19.354622,6.0,11.6,5.0,27.0,15.0,1.9
204,3.3607268725490202,180.0,15.0,19.354622,6.0,11.6,7.0,26.0,15.0,5.0
205,3.4897414999999996,180.0,15.0,19.354622,5.0,11.6,11.0,26.0,13.0,0.0
206,4.638760343137255,180.0,15.0,19.354622,6.0,11.6,7.0,27.0,13.0,0.9
207,4.0752983333333335,180.0,15.0,19.354622,5.0,11.6,9.0,25.0,14.0,3.7
208,4.07259574509804,180.0,15.0,19.354622,5.0,11.6,10.0,25.0,13.0,5.4
209,3.403396137254902,180.0,15.0,19.354622,4.0,11.6,17.0,23.0,13.0,5.2
