id,date,production(kWh),specific_prod(kWh/kWp),uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation,sunrise,sunset
1,2020-05-27,34.047254,3.337966078431373,6.0,11.6,17.0,28.0,14.0,0.7,06:58 AM,08:09 PM
1,2020-05-28,37.06548,3.6338705882352946,5.0,10.4,35.0,26.0,13.0,8.9,06:58 AM,08:10 PM
1,2020-05-29,37.592620000000004,3.6855509803921573,4.0,8.0,51.0,23.0,12.0,17.7,06:58 AM,08:10 PM
1,2020-05-30,34.483457,3.380731078431373,4.0,11.6,36.0,24.0,10.0,0.8,06:58 AM,08:11 PM
1,2020-05-31,33.053957000000004,3.240584019607844,4.0,9.2,48.0,23.0,10.0,6.3,06:58 AM,08:11 PM
1,2020-06-01,38.95678,3.8192921568627454,5.0,10.4,60.0,24.0,11.0,2.4,06:58 AM,08:11 PM
1,2020-06-02,41.30131,4.0491480392156864,5.0,11.6,29.0,27.0,10.0,0.3,06:58 AM,08:12 PM
1,2020-06-03,24.627162000000002,2.4144276470588237,4.0,10.4,49.0,24.0,10.0,0.8,06:58 AM,08:12 PM
1,2020-06-04,37.45193,3.671757843137255,6.0,11.6,27.0,27.0,10.0,0.2,06:58 AM,08:12 PM
1,2020-06-05,39.763465,3.8983789215686273,6.0,11.6,36.0,29.0,12.0,1.4,06:58 AM,08:13 PM
1,2020-06-06,41.568492,4.075342352941177,5.0,10.4,41.0,29.0,14.0,2.0,06:58 AM,08:13 PM
1,2020-06-07,35.376687999999994,3.468302745098039,5.0,6.8,76.0,26.0,11.0,12.9,06:58 AM,08:14 PM
1,2020-06-08,41.88882,4.1067470588235295,5.0,6.8,76.0,26.0,12.0,15.3,06:58 AM,08:14 PM
1,2020-06-09,36.586266,3.5868888235294123,5.0,10.4,55.0,30.0,17.0,3.5,06:58 AM,08:14 PM
1,2020-06-10,37.490187999999996,3.6755086274509803,6.0,10.4,54.0,27.0,14.0,3.2,06:58 AM,08:15 PM
1,2020-06-11,25.749379,2.5244489215686277,4.0,9.2,70.0,22.0,12.0,27.8,06:58 AM,08:15 PM
1,2020-06-12,40.857543,4.005641470588236,5.0,11.6,41.0,24.0,10.0,3.8,06:58 AM,08:15 PM
1,2020-06-13,42.03629,4.121204901960785,5.0,11.6,19.0,27.0,9.0,0.9,06:58 AM,08:15 PM
1,2020-06-14,41.551449999999996,4.073671568627451,5.0,11.6,9.0,26.0,9.0,0.0,06:58 AM,08:16 PM
1,2020-06-15,36.708417999999995,3.598864509803921,6.0,11.6,5.0,27.0,10.0,0.0,06:59 AM,08:16 PM
1,2020-06-16,40.761112999999995,3.9961875490196075,6.0,11.6,27.0,29.0,10.0,0.6,06:59 AM,08:16 PM
1,2020-06-17,39.943839999999994,3.916062745098039,5.0,8.0,73.0,28.0,11.0,6.6,06:59 AM,08:17 PM
1,2020-06-18,40.59249,3.979655882352941,6.0,11.6,37.0,27.0,11.0,2.6,06:59 AM,08:17 PM
1,2020-06-19,39.243918,3.847442941176471,5.0,11.6,36.0,27.0,13.0,1.3,06:59 AM,08:17 PM
1,2020-06-20,37.93169,3.7187931372549023,4.0,9.2,58.0,25.0,12.0,11.7,06:59 AM,08:17 PM
1,2020-06-21,29.775125,2.9191299019607846,5.0,6.6,77.0,24.0,13.0,20.9,07:00 AM,08:17 PM
1,2020-06-22,17.433145,1.7091318627450982,4.0,7.8,64.0,24.0,12.0,30.5,07:00 AM,08:18 PM
1,2020-06-23,24.259115,2.3783446078431374,4.0,9.1,56.0,24.0,11.0,21.9,07:00 AM,08:18 PM
1,2020-06-26,35.581586,3.488390784313726,4.0,6.6,66.0,24.0,12.0,14.3,07:01 AM,08:18 PM
