date,id,uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation,sunrise,sunset
2017-01-01,1,4.0,11.0,7.0,20.0,8.0,0.0,08:11 AM,07:10 PM
2017-01-02,1,4.0,11.0,2.0,21.0,8.0,0.0,08:11 AM,07:11 PM
2017-01-03,1,4.0,11.0,2.0,22.0,9.0,0.0,08:11 AM,07:12 PM
2017-01-04,1,4.0,11.0,2.0,23.0,9.0,0.0,08:11 AM,07:12 PM
2017-01-05,1,4.0,11.0,0.0,22.0,7.0,0.0,08:12 AM,07:13 PM
2017-01-06,1,4.0,11.0,0.0,22.0,8.0,0.2,08:12 AM,07:14 PM
2017-01-07,1,4.0,11.0,7.0,20.0,8.0,0.0,08:12 AM,07:14 PM
2017-01-08,1,4.0,11.0,12.0,17.0,7.0,0.0,08:12 AM,07:15 PM
2017-01-09,1,3.0,11.0,4.0,18.0,4.0,0.0,08:13 AM,07:16 PM
2017-01-10,1,4.0,11.0,2.0,19.0,4.0,0.0,08:13 AM,07:16 PM
2017-01-11,1,4.0,11.0,6.0,19.0,7.0,0.0,08:13 AM,07:17 PM
2017-01-12,1,4.0,11.1,1.0,20.0,6.0,0.0,08:13 AM,07:18 PM
2017-01-13,1,4.0,11.1,1.0,20.0,6.0,0.0,08:13 AM,07:18 PM
2017-01-14,1,4.0,11.1,4.0,19.0,6.0,0.0,08:13 AM,07:19 PM
2017-01-15,1,4.0,11.1,2.0,19.0,5.0,0.0,08:13 AM,07:19 PM
2017-01-16,1,4.0,11.1,2.0,20.0,6.0,0.0,08:13 AM,07:20 PM
2017-01-17,1,4.0,11.1,1.0,20.0,6.0,0.0,08:13 AM,07:21 PM
2017-01-18,1,4.0,11.1,2.0,20.0,6.0,0.0,08:13 AM,07:21 PM
2017-01-19,1,4.0,11.1,1.0,20.0,6.0,0.0,08:13 AM,07:22 PM
2017-01-20,1,4.0,11.1,2.0,20.0,7.0,0.0,08:13 AM,07:23 PM
2017-01-21,1,4.0,11.1,2.0,21.0,6.0,0.0,08:13 AM,07:23 PM
2017-01-22,1,4.0,11.1,0.0,22.0,6.0,0.0,08:13 AM,07:24 PM
2017-01-23,1,4.0,11.1,0.0,22.0,7.0,0.0,08:13 AM,07:25 PM
2017-01-24,1,4.0,11.1,0.0,21.0,6.0,0.0,08:13 AM,07:25 PM
2017-01-25,1,4.0,11.1,0.0,22.0,5.0,0.0,08:13 AM,07:26 PM
2017-01-26,1,4.0,11.1,0.0,23.0,6.0,0.0,08:12 AM,07:26 PM
2017-01-27,1,4.0,11.2,0.0,23.0,6.0,0.0,08:12 AM,07:27 PM
2017-01-28,1,4.0,11.2,0.0,21.0,5.0,0.0,08:12 AM,07:28 PM
2017-01-29,1,4.0,11.2,6.0,18.0,4.0,0.0,08:12 AM,07:28 PM
2017-01-30,1,4.0,11.2,8.0,19.0,5.0,0.0,08:12 AM,07:29 PM
2017-01-31,1,4.0,11.2,5.0,21.0,6.0,0.0,08:11 AM,07:29 PM
2017-02-01,1,4.0,11.2,3.0,21.0,7.0,0.3,08:11 AM,07:30 PM
2017-02-02,1,4.0,11.2,4.0,20.0,7.0,0.0,08:11 AM,07:31 PM
2017-02-03,1,4.0,11.2,9.0,20.0,9.0,0.1,08:10 AM,07:31 PM
2017-02-04,1,4.0,11.2,15.0,19.0,9.0,0.1,08:10 AM,07:32 PM
2017-02-05,1,4.0,11.2,6.0,21.0,7.0,0.0,08:10 AM,07:32 PM
2017-02-06,1,4.0,11.2,4.0,21.0,8.0,0.0,08:09 AM,07:33 PM
2017-02-07,1,5.0,11.2,1.0,23.0,8.0,0.0,08:09 AM,07:33 PM
2017-02-08,1,5.0,11.3,1.0,23.0,9.0,0.0,08:08 AM,07:34 PM
2017-02-09,1,4.0,11.3,0.0,23.0,8.0,0.0,08:08 AM,07:34 PM
2017-02-10,1,4.0,11.3,2.0,22.0,6.0,0.0,08:07 AM,07:35 PM
2017-02-11,1,4.0,11.3,0.0,23.0,6.0,0.0,08:07 AM,07:35 PM
2017-02-12,1,4.0,11.3,0.0,23.0,7.0,0.0,08:07 AM,07:36 PM
2017-02-13,1,4.0,11.3,1.0,22.0,7.0,0.0,08:06 AM,07:36 PM
2017-02-14,1,4.0,11.3,2.0,22.0,8.0,0.1,08:05 AM,07:37 PM
2017-02-15,1,4.0,11.3,3.0,21.0,6.0,0.1,08:05 AM,07:37 PM
2017-02-16,1,4.0,11.3,7.0,19.0,9.0,0.1,08:04 AM,07:37 PM
2017-02-17,1,4.0,11.3,1.0,20.0,7.0,0.0,08:04 AM,07:38 PM
2017-02-18,1,4.0,11.4,3.0,22.0,6.0,0.0,08:03 AM,07:38 PM
2017-02-19,1,4.0,11.4,11.0,21.0,6.0,0.0,08:03 AM,07:39 PM
2017-02-20,1,4.0,11.4,1.0,22.0,8.0,0.0,08:02 AM,07:39 PM
2017-02-21,1,4.0,11.4,4.0,21.0,7.0,0.0,08:01 AM,07:40 PM
2017-02-22,1,4.0,11.4,1.0,22.0,8.0,0.0,08:01 AM,07:40 PM
2017-02-23,1,4.0,11.4,1.0,22.0,8.0,0.0,08:00 AM,07:40 PM
2017-02-24,1,4.0,11.6,0.0,23.0,5.0,0.0,07:59 AM,07:41 PM
2017-02-25,1,4.0,11.6,0.0,23.0,5.0,0.0,07:59 AM,07:41 PM
2017-02-26,1,4.0,11.6,1.0,23.0,7.0,0.0,07:58 AM,07:41 PM
2017-02-27,1,5.0,11.6,1.0,25.0,8.0,0.0,07:57 AM,07:42 PM
2017-02-28,1,5.0,11.6,0.0,25.0,9.0,0.0,07:57 AM,07:42 PM
2017-03-01,1,5.0,11.6,1.0,26.0,9.0,0.0,07:56 AM,07:43 PM
2017-03-02,1,5.0,11.6,6.0,23.0,10.0,0.0,07:55 AM,07:43 PM
2017-03-03,1,4.0,11.6,9.0,21.0,9.0,2.3,07:54 AM,07:43 PM
2017-03-04,1,4.0,11.6,14.0,22.0,9.0,2.2,07:54 AM,07:43 PM
2017-03-05,1,5.0,11.6,7.0,22.0,9.0,0.1,07:53 AM,07:44 PM
2017-03-06,1,5.0,11.6,7.0,22.0,10.0,0.0,07:52 AM,07:44 PM
